sample_id,x,y,label,split
81,-0.170073940038,-0.192192797576,0,train
82,-0.039352468017,-0.857886759124,1,train
83,-0.345384044546,0.031251519863,0,train
84,-0.001715557594,-0.776512670581,1,train
85,0.207646744607,-0.184591539182,0,train
86,0.020032802919,-0.713592952772,1,train
87,0.319012454733,0.066721632228,0,train
88,-0.790180411594,0.090078253008,1,train
89,0.001904778172,0.372535625272,0,train
90,0.623000894224,0.625475441278,1,train
91,0.224384613821,0.285207815745,0,train
92,0.077850355568,-0.398795731118,0,train
93,0.800268141126,0.064617510503,1,train
94,-0.548853517528,-0.675965539444,1,train
95,0.782980079664,-0.335675188142,1,train
96,-0.856536042073,0.011423790198,1,test
97,0.212088054112,0.340853845503,0,test
98,0.152403619924,-0.299511443802,0,test
99,-0.230399451179,-0.229683625711,0,test
100,0.398285102627,-0.018919477243,0,test
101,-0.082899427713,0.213408620783,0,test
102,0.026990770202,-0.229057350053,0,test
103,0.294083323955,-0.062083513991,0,test
104,-0.133889804193,-0.363928862232,0,test
105,-0.188892259781,-0.373118562717,0,test
106,-0.885497757055,0.081129907834,1,test
107,-0.791636988226,-0.009927339252,1,test
108,0.717225534628,-0.112444379827,1,test
109,0.161714267012,-0.231651319165,0,test
110,-0.359205698934,-0.097207155640,0,test
111,-0.475005762154,-0.691980132905,1,test
112,0.731467801060,-0.286408025392,1,test
113,-0.148594854595,0.265160799208,0,test
114,-0.594682670695,0.497802998451,1,test
115,-0.279655383369,0.096729882106,0,test
116,0.132205020769,-0.248311519591,0,test
117,-0.685155897447,-0.359908775289,1,test
118,-0.144702132737,0.730717780041,1,test
119,0.315781322822,0.544533802999,1,test
120,-0.762377917688,-0.338088185205,1,test
121,0.160292885912,0.786930306315,1,test
122,0.289578533804,0.303152876851,0,test
123,0.622848641702,0.540192795739,1,test
124,0.229474224375,0.356403456623,0,test
125,-0.110091054907,-0.826551792505,1,test
126,-0.274794635613,-0.183461747216,0,test
127,-0.270410459518,0.003910210064,0,test
128,-0.246180557731,-0.245278849102,0,test
129,-0.102744598037,-0.305962518048,0,test
130,-0.861036387667,0.252113893839,1,test
131,-0.825648526373,0.153742242066,1,test
132,-0.239492879922,-0.432815524785,0,test
133,0.176593148795,0.882439443115,1,test
134,-0.359133874992,-0.677473909149,1,test
135,0.768828461226,-0.022755422335,1,test
136,0.008996793593,-0.412192116509,0,test
137,-0.337998353980,-0.762459594326,1,test
138,0.085273566473,-0.411630241890,0,test
139,-0.348690746991,-0.090224405771,0,test
140,0.089309187850,0.358825063440,0,test
141,0.141177135205,-0.831382019259,1,test
142,-0.418165397480,-0.172038954857,0,test
143,-0.410430069688,-0.719864305159,1,test
